WKT,id,index
"POLYGON ((519610.961589015 191988.777948361,519468.452734163 191876.186313314,519503.466871431 191682.711940096,519680.988330938 191601.830847194,519823.493521356 191714.425214131,519788.480916612 191907.897942286,519610.961589015 191988.777948361))",106,89195da5473ffff
"POLYGON ((520957.704153826 177344.100719771,520815.139935142 177231.267396618,520850.173633541 177037.609910744,521027.772794151 176956.789411752,521170.334160049 177069.626038327,521135.29921812 177263.279860591,520957.704153826 177344.100719771))",107,89194ada263ffff
"POLYGON ((526467.863008875 163104.305093853,526325.328966213 162991.2536073,526360.397642246 162797.459958325,526538.00160776 162716.721502642,526680.532663894 162829.77518768,526645.462879748 163023.564742444,526467.863008875 163104.305093853))",108,89194ac15d3ffff
"POLYGON ((524371.22165879 177389.732231049,524228.731558925 177276.918912841,524263.777944185 177083.297371734,524441.315326885 177002.492756352,524583.802474222 177115.309360141,524548.755191376 177308.927293857,524371.22165879 177389.732231049))",109,89194ada037ffff
"POLYGON ((552163.11579712 179284.230761019,552021.242477326 179171.63156681,552056.402197574 178978.350696714,552233.436245852 178897.673156928,552375.30665905 179010.27578846,552340.145930572 179203.552522579,552163.11579712 179284.230761019))",110,89194e6c413ffff
"POLYGON ((508830.638198675 191216.181997515,508687.900938741 191103.519070667,508722.879976529 190909.919079892,508900.597691951 190828.986714318,509043.332196074 190941.653475312,509008.351811526 191135.24906055,508830.638198675 191216.181997515))",111,89195daf103ffff
"POLYGON ((529378.374907182 175821.20542416,529235.981600765 175708.395785584,529271.046728536 175514.807238875,529448.506282466 175434.032343018,529590.896703938 175546.845382622,529555.830456429 175740.429917174,529378.374907182 175821.20542416))",112,89194ad1067ffff
"POLYGON ((531289.034884674 172464.778504072,531146.661278499 172351.921625346,531181.739703238 172158.310405014,531359.19299198 172077.560268435,531501.564046958 172190.421195499,531466.484261877 172384.027993357,531289.034884674 172464.778504072))",113,89194ad1ea3ffff
"POLYGON ((528418.771806606 175725.103539612,528276.357473036 175612.286011705,528311.419226082 175418.685548352,528488.896433421 175337.906451264,528631.307944284 175450.727321111,528596.245056324 175644.32389262,528418.771806606 175725.103539612))",114,89194ad13dbffff
"POLYGON ((533297.07016992 164976.816688345,533154.694629015 164863.843656263,533189.782562661 164670.153858613,533367.247145804 164589.441282994,533509.619652881 164702.417953553,533474.530533399 164896.103632886,533297.07016992 164976.816688345))",115,89194ac2043ffff
"POLYGON ((520258.142960414 194711.159347452,520115.678337266 194598.620706069,520150.701895913 194405.197786065,520328.191084206 194324.317169326,520470.652787286 194436.859136649,520435.628222134 194630.278394893,520258.142960414 194711.159347452))",116,89195da7257ffff
"POLYGON ((526183.73396821 177275.35650162,526041.281118843 177162.551714725,526076.333049778 176968.947590777,526253.838951073 176888.152297348,526396.288996984 177000.960627171,526361.235913926 177194.560723979,526183.73396821 177275.35650162))",117,89194ada52fffff
