INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
293081085,09/10/2024,23:00:00,BRONX,OUTSIDE,46,0,STREET,(null),Y,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1010007,250297,40.853645,-73.906891,POINT (-73.906891 40.853645)
295429243,10/24/2024,1:37:00,MANHATTAN,OUTSIDE,28,0,STREET,(null),Y,<18,M,BLACK,<18,M,BLACK,998811,233547,40.807698,-73.947398,POINT (-73.947398 40.807698)
293781893,09/23/2024,10:20:00,QUEENS,OUTSIDE,103,0,DWELLING,PVT HOUSE,N,(null),(null),(null),25-44,M,BLACK,1049490,198502,40.71128,-73.764672,POINT (-73.764672 40.71128)
282767548,02/24/2024,1:05:00,QUEENS,OUTSIDE,105,0,STREET,(null),N,(null),(null),(null),<18,M,BLACK,1059234,176993,40.652164,-73.729767,POINT (-73.729767 40.652164)
288607697,06/16/2024,11:44:00,BRONX,OUTSIDE,46,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1011009,248494,40.848693,-73.903279,POINT (-73.903279 40.848693)
281343761,01/30/2024,0:32:00,BROOKLYN,INSIDE,71,0,DWELLING,MULTI DWELL - APT BUILD,Y,45-64,M,BLACK,18-24,M,BLACK,1002927,182322,40.667091,-73.932674,POINT (-73.932674 40.667091)
291035922,08/01/2024,17:23:00,BRONX,OUTSIDE,40,1,TRANSIT,(null),N,(null),(null),(null),25-44,M,BLACK,1009702,236693,40.816307,-73.908048,POINT (-73.908048 40.816307)
286395222,05/03/2024,3:23:00,BROOKLYN,INSIDE,73,0,DWELLING,MULTI DWELL - APT BUILD,N,(null),(null),(null),25-44,M,BLACK,1010947,184366,40.67268,-73.903755,POINT (-73.903755 40.67268)
295548025,10/27/2024,16:03:00,BRONX,OUTSIDE,42,0,COMMERCIAL,GROCERY/BODEGA,N,(null),(null),(null),18-24,M,BLACK,1014628,242864,40.833231,-73.890222,POINT (-73.890222 40.833231)
293730141,09/22/2024,23:39:00,QUEENS,OUTSIDE,103,0,STREET,(null),N,(null),(null),(null),18-24,F,WHITE HISPANIC,1048975,198377,40.710939,-73.766534,POINT (-73.766534 40.710939)
298263882,12/19/2024,21:10:00,QUEENS,INSIDE,109,0,STREET,(null),N,(null),(null),(null),25-44,M,ASIAN / PACIFIC ISLANDER,1030164,214448,40.755178,-73.834275,POINT (-73.834275 40.755178)
280107186,01/06/2024,13:32:00,MANHATTAN,INSIDE,14,0,COMMERCIAL,(null),Y,25-44,M,BLACK,25-44,M,BLACK,986962,214020,40.754112,-73.99021,POINT (-73.99021 40.754112)
285625883,04/19/2024,20:18:00,QUEENS,OUTSIDE,103,0,STREET,(null),N,(null),(null),(null),<18,M,BLACK,1041726,192894,40.695941,-73.792727,POINT (-73.792727 40.695941)
293023440,09/09/2024,22:45:00,MANHATTAN,INSIDE,5,0,DWELLING,MULTI DWELL - APT BUILD,Y,<18,M,BLACK,45-64,F,ASIAN / PACIFIC ISLANDER,985826,198659,40.711951,-73.994313,POINT (-73.994313 40.711951)
283020987,02/29/2024,19:27:00,BRONX,INSIDE,40,0,COMMERCIAL,GROCERY/BODEGA,N,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1009568,236579,40.815995,-73.908532,POINT (-73.908532 40.815995)
291354910,08/07/2024,21:20:00,QUEENS,INSIDE,104,0,DWELLING,PVT HOUSE,N,(null),(null),(null),18-24,M,WHITE HISPANIC,1014988,193652,40.698156,-73.889148,POINT (-73.889148 40.698156)
289881882,07/10/2024,21:30:00,BROOKLYN,OUTSIDE,77,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1000320,183659,40.670764,-73.942068,POINT (-73.942068 40.670764)
288434051,06/12/2024,22:20:00,BROOKLYN,OUTSIDE,76,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,45-64,M,BLACK,987086,188344,40.683637,-73.989774,POINT (-73.989774 40.683637)
292252759,08/25/2024,3:56:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),N,18-24,M,WHITE HISPANIC,25-44,F,BLACK,998608,171942,40.638606,-73.948266,POINT (-73.948266 40.638606)
294327136,10/03/2024,23:10:00,QUEENS,INSIDE,101,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,25-44,M,BLACK,45-64,M,BLACK,1044121,155673,40.593761,-73.784418,POINT (-73.784418 40.593761)
292947997,09/07/2024,18:00:00,BRONX,INSIDE,43,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,BLACK HISPANIC,18-24,F,BLACK HISPANIC,1024058,238894,40.822296,-73.856169,POINT (-73.856169 40.822296)
